standard sorting order,Long List (isc:),Long List (formatted),Rank,Black/White/None text font colour,CMYK,Cyan,Magenta,Yellow,Black,RGB,Red,Green,Blue,HTML RGB HASH,,,,,
,,,,,,,,,,,,,,,,,,,
,"Eonothems, Erathems, Systems, Subsytems, Series, Subseries, Stages",,,,,,,,,,,,,,,,,,
standard sort,Long List (isc:),Long List (formatted),Rank,,,,,,,,,,,,,,,,
76,isc:Jurassic,Jurassic,System,White,80/0/5/0,80,0,5,0,52/178/201,52,178,201,#34B2C9,Jurassic System,,"52,178,201",,#34B2C9
77,isc:Rhaetian,Rhaetian,Stage,Black,10/25/0/0,10,25,0,0,227/185/219,227,185,219,#E3B9DB,Rhaetian Stage,,"227,185,219",,#E3B9DB
78,isc:Norian,Norian,Stage,Black,15/30/0/0,15,30,0,0,214/170/211,214,170,211,#D6AAD3,Norian Stage,,"214,170,211",,#D6AAD3
79,isc:Carnian,Carnian,Stage,Black,20/35/0/0,20,35,0,0,201/155/203,201,155,203,#C99BCB,Carnian Stage,,"201,155,203",,#C99BCB
80,isc:UpperTriassic,Upper Triassic,Series,White,25/40/0/0,25,40,0,0,189/140/195,189,140,195,#BD8CC3,Upper Triassic Series,,"189,140,195",,#BD8CC3
81,isc:Ladinian,Ladinian,Stage,White,20/45/0/0,20,45,0,0,201/131/191,201,131,191,#C983BF,Ladinian Stage,,"201,131,191",,#C983BF
82,isc:Anisian,Anisian,Stage,White,25/50/0/0,25,50,0,0,188/117/183,188,117,183,#BC75B7,Anisian Stage,,"188,117,183",,#BC75B7
83,isc:MiddleTriassic,Middle Triassic,Series,White,30/55/0/0,30,55,0,0,177/104/177,177,104,177,#B168B1,Middle Triassic Series,,"177,104,177",,#B168B1
84,isc:Olenekian,Olenekian,Stage,White,30/65/0/0,30,65,0,0,176/81/165,176,81,165,#B051A5,Olenekian Stage,,"176,81,165",,#B051A5
85,isc:Induan,Induan,Stage,White,35/70/0/0,35,70,0,0,164/70/159,164,70,159,#A4469F,Induan Stage,,"164,70,159",,#A4469F
86,isc:LowerTriassic,Lower Triassic,Series,White,40/75/0/0,40,75,0,0,152/57/153,152,57,153,#983999,Lower Triassic Series,,"152,57,153",,#983999
87,isc:Triassic,Triassic,System,White,50/80/0/0,50,80,0,0,129/43/146,129,43,146,#812B92,Triassic System,,"129,43,146",,#812B92
88,isc:Mesozoic,Mesozoic,Erathem,Black,60/0/10/0,60,0,10,0,103/197/202,103,197,202,#67C5CA,Mesozoic Erathem,,"103,197,202",,#67C5CA
89,isc:Changhsingian,Changhsingian,Stage,Black,0/25/20/0,0,25,20,0,252/192/178,252,192,178,#FCC0B2,Changhsingian Stage,,"252,192,178",,#FCC0B2
90,isc:Wuchiapingian,Wuchiapingian,Stage,Black,0/30/25/0,0,30,25,0,252/180/162,252,180,162,#FCB4A2,Wuchiapingian Stage,,"252,180,162",,#FCB4A2
91,isc:Lopingian,Lopingian,Series,Black,0/35/30/0,0,35,30,0,251/167/148,251,167,148,#FBA794,Lopingian Series,,"251,167,148",,#FBA794
92,isc:Capitanian,Capitanian,Stage,Black,0/40/35/0,0,40,35,0,251/154/133,251,154,133,#FB9A85,Capitanian Stage,,"251,154,133",,#FB9A85
93,isc:Wordian,Wordian,Stage,Black,0/45/40/0,0,45,40,0,251/141/118,251,141,118,#FB8D76,Wordian Stage,,"251,141,118",,#FB8D76
94,isc:Roadian,Roadian,Stage,Black,0/50/45/0,0,50,45,0,251/128/105,251,128,105,#FB8069,Roadian Stage,,"251,128,105",,#FB8069
95,isc:Guadalupian,Guadalupian,Series,Black,0/55/50/0,0,55,50,0,251/116/92,251,116,92,#FB745C,Guadalupian Series,,"251,116,92",,#FB745C
96,isc:Kungurian,Kungurian,Stage,Black,10/45/40/0,10,45,40,0,227/135/118,227,135,118,#E38776,Kungurian Stage,,"227,135,118",,#E38776
97,isc:Artinskian,Artinskian,Stage,Black,10/50/45/0,10,50,45,0,227/123/104,227,123,104,#E37B68,Artinskian Stage,,"227,123,104",,#E37B68
98,isc:Sakmarian,Sakmarian,Stage,Black,10/55/50/0,10,55,50,0,227/111/92,227,111,92,#E36F5C,Sakmarian Stage,,"227,111,92",,#E36F5C
99,isc:Asselian,Asselian,Stage,Black,10/60/55/0,10,60,55,0,227/99/80,227,99,80,#E36350,Asselian Stage,,"227,99,80",,#E36350
100,isc:Cisuralian,Cisuralian,Series,Black,5/65/60/0,5,65,60,0,239/88/69,239,88,69,#EF5845,Cisuralian Series,,"239,88,69",,#EF5845
101,isc:Permian,Permian,System,Black,5/75/75/0,5,75,75,0,240/64/40,240,64,40,#F04028,Permian System,,"240,64,40",,#F04028
102,isc:Gzhelian,Gzhelian,Stage,Black,20/10/15/0,20,10,15,0,204/212/199,204,212,199,#CCD4C7,Gzhelian Stage,,"204,212,199",,#CCD4C7
103,isc:Kasimovian,Kasimovian,Stage,Black,25/10/15/0,25,10,15,0,191/208/197,191,208,197,#BFD0C5,Kasimovian Stage,,"191,208,197",,#BFD0C5
104,isc:UpperPennsylvanian,Upper Pennsylvanian,Series,Black,25/10/20/0,25,10,20,0,191/208/186,191,208,186,#BFD0BA,Upper Pennsylvanian Series,,"191,208,186",,#BFD0BA
105,isc:Moscovian,Moscovian,Stage,Black,30/10/20/0,30,10,20,0,179/203/185,179,203,185,#B3CBB9,Moscovian Stage,,"179,203,185",,#B3CBB9
106,isc:MiddlePennsylvanian,Middle Pennsylvanian,Series,Black,30/10/20/0,30,10,20,0,166/199/183,166,199,183,#A6C7B7,Middle Pennsylvanian Series,,"166,199,183",,#A6C7B7
107,isc:Bashkirian,Bashkirian,Stage,Black,40/10/20/0,40,10,20,0,153/194/181,153,194,181,#99C2B5,Bashkirian Stage,,"153,194,181",,#99C2B5
108,isc:LowerPennsylvanian,Lower Pennsylvanian,Series,Black,45/10/20/0,45,10,20,0,140/190/180,140,190,180,#8CBEB4,Lower Pennsylvanian Series,,"140,190,180",,#8CBEB4
109,isc:Pennsylvanian,Pennsylvanian,Subsystem,Black,50/10/20/0,50,10,20,0,126/188/198,126,188,198,#7EBCC6,Pennsylvanian Subsystem,,"126,188,198",,#7EBCC6
110,isc:Serpukhovian,Serpukhovian,Stage,Black,25/15/55/0,25,15,55,0,191/194/107,191,194,107,#BFC26B,Serpukhovian Stage,,"191,194,107",,#BFC26B
111,isc:UpperMississippian,Upper Mississippian,Series,Black,25/15/55/0,25,15,55,0,179/190/108,179,190,108,#B3BE6C,Upper Mississippian Series,,"179,190,108",,#B3BE6C
112,isc:Visean,Visean,Stage,Black,35/15/55/0,35,15,55,0,166/185/108,166,185,108,#A6B96C,Visean Stage,,"166,185,108",,#A6B96C
113,isc:MiddleMississippian,Middle Mississippian,Series,Black,35/15/55/0,35,15,55,0,153/180/108,153,180,108,#99B46C,Middle Mississippian Series,,"153,180,108",,#99B46C
114,isc:Tournaisian,Tournaisian,Stage,Black,45/15/55/0,45,15,55,0,140/176/108,140,176,108,#8CB06C,Tournaisian Stage,,"140,176,108",,#8CB06C
115,isc:LowerMississippian,Lower Mississippian,Series,Black,45/15/55/0,45,15,55,0,128/171/108,128,171,108,#80AB6C,Lower Mississippian Series,,"128,171,108",,#80AB6C
116,isc:Mississippian,Mississippian,Subsystem,White,60/25/55/0,60,25,55,0,103/143/102,103,143,102,#678F66,Mississippian Subsystem,,"103,143,102",,#678F66
117,isc:Carboniferous,Carboniferous,System,White,60/15/30/0,60,15,30,0,103/165/153,103,165,153,#67A599,Carboniferous System,,"103,165,153",,#67A599
118,isc:Famennian,Famennian,Stage,Black,5/5/20/0,5,5,20,0,242/237/179,242,237,179,#F2EDB3,Famennian Stage,,"242,237,179",,#F2EDB3
119,isc:Frasnian,Frasnian,Stage,Black,5/5/30/0,5,5,30,0,242/237/173,242,237,173,#F2EDAD,Frasnian Stage,,"242,237,173",,#F2EDAD
120,isc:UpperDevonian,Upper Devonian,Series,Black,5/10/35/0,5,10,35,0,241/225/157,241,225,157,#F1E19D,Upper Devonian Series,,"241,225,157",,#F1E19D
121,isc:Givetian,Givetian,Stage,Black,5/10/45/0,5,10,45,0,241/225/133,241,225,133,#F1E185,Givetian Stage,,"241,225,133",,#F1E185
