site,sampleID,interval,rmcd,d13C,d18O
1168A,11H1W,60–62,105.13,0.2,2.77
1168A,11H1W,60–62,105.13,0.36,2.9
1168A,11H2W,60–62,106.63,0.27,2.87
1168A,11H3W,60–62,108.13,0.19,3.07
1168A,11H4W,63.5–65.5,109.67,-0.48,3.23
1168A,11H6W,60–62,112.63,0.22,2.45
1168A,11H6W,60–62,112.63,0.32,2.49
1168A,11H7W,58–60,114.11,-0.5,3.32
1168A,11H7W,58–60,114.11,-0.58,3.53
1168A,12H1W,60–62,116.41,0.45,2.74
1168A,12H2W,60–62,117.91,0.08,2.91
1168A,12H2W,60–62,117.91,0.14,2.91
1168A,12H3W,60–62,119.41,-0.05,2.7
1168A,12H3W,60–62,119.41,0.09,2.84
1168A,12H3W,60–62,119.41,0.28,2.8
1168A,12H3W,60–62,119.41,-0.04,2.96
1168A,12H3W,60–62,119.41,0.11,2.58
1168A,12H3W,60–62,119.41,0.07,3
1168A,12H3W,60–62,119.41,0.19,2.94
1168A,12H4W,56–58,120.87,-0.2,2.83
1168A,12H4W,56–58,120.87,0.11,2.97
1168A,12H4W,56–58,120.87,0.18,2.94
1168A,12H4W,56–58,120.87,-0.23,2.43
1168A,12H4W,56–58,120.87,-0.16,3.15
1168A,12H5W,60–62,122.41,0.12,2.84
1168A,12H5W,60–62,122.41,-0.75,3.38
1168A,12H5W,60–62,122.41,-0.61,3.31
1168A,12H5W,60–62,122.41,-0.3,3.26
1168A,13X1W,60–62,126.25,0.74,2.33
1168A,13X1W,60–62,126.25,0.88,2.85
1168A,13X2W,60–62,127.75,1.27,1.94
1168A,13X3W,60–62,129.25,0.79,2.81
1168A,14X1W,60–62,132.95,0.89,2.8
1168A,14X2W,60–62,134.45,2.21,1.86
1168A,14X3W,60–62,135.95,0.92,2.81
1168A,14X4W,60–62,137.45,1.03,2.44
1168A,14X5W,60–62,138.95,1.41,2.48
1168A,15X1W,60–62,142.55,0.45,3.09
1168A,15X1W,60–62,142.55,0.29,3.09
1168A,15X1W,120–122,143.15,0.75,2.76
1168A,15X1W,120–122,143.15,0.89,2.79
1168A,15X1W,120–122,143.15,0.85,2.81
1168A,15X2W,60–62,144.05,0.67,2.91
1168A,15X2W,60–62,144.05,0.9,2.42
1168A,16X2W,60–62,153.65,-0.1,2.4
1168A,16X2W,60–62,153.65,0.64,2.9
1168A,16X3W,60–62,155.15,0.58,2.32
1168A,16X3W,60–62,155.15,0.72,2.51
1168A,16X3W,62–64,155.17,0.63,2.4
1168A,16X4W,60–62,156.65,0.97,2.48
1168A,17X1W,60–62,154.41,1.27,1.76
1168A,17X1W,61–63,154.42,-0.77,-0.86
1168A,17X1W,61–63,154.42,0.49,2.46
1168A,17X2W,60–62,155.91,0.8,2.5
1168A,17X4W,60–62,158.91,1.04,2.55
1168A,17X4W,60–62,158.91,1.07,2.7
1168A,17X5W,60–62,160.41,1.03,2.71
1168A,18X1W,60–62,161.47,1.1,2.5
1168A,18X2W,60–62,162.97,0.92,2.49
1168A,18X2W,60–62,162.97,1.02,2.41
1168A,18X3W,60–62,164.47,0.69,2.44
1168A,18X3W,60–62,164.47,0.67,2.38
1168A,18X3W,61–63,164.48,0.61,2.51
1168A,18X3W,61–63,164.48,0.84,2.56
