site,sampleID,interval,rmcd,d13C,d18O,,,,,,,,
1168A,9H4W,40–42,87.32,1.32,1.71,,,,,,,,
1168A,9H5W,96–98,89.28,1.75,2.08,,,,,,,,
1168A,9H6W,116.5–118.5,91.09,1.76,2.53,,,,,,,,
1168A,10H2W,65–67,95.53,1.41,2.13,,,,,,,,
1168A,10H4W,64–66,98.52,1.09,2.12,,,,,,,,
1168A,10H5W,63–65,100.01,1.26,1.79,,,,,,,,
1168A,10H6W,66–68,101.54,1.24,1.71,,,,,,,,
1168A,10H7W,63.5–65.5,103.02,1.19,1.65,,,,,,,,
1168A,11H1W,30–32,104.73,1.29,2.00,,,,,,,,
1168A,11H2W,30–32,106.33,1.02,1.93,,,,,,,,
1168A,11H3W,30–32,107.83,1.82,2.29,,,,,,,,
1168A,11H4W,60–62,111.17,1.66,2.19,,,,,,,,
1168A,11H5W,63.5–65.5,109.67,1.50,2.07,,,,,,,,
1168A,11H6W,30–32,112.33,1.33,1.67,,,,,,,,
1168A,12H2W,30–32,117.61,1.43,1.79,,,,,,,,
1168A,12H3W,30–32,119.11,1.11,1.72,,,,,,,,
1168A,12H4W,56–58,120.87,1.55,2.25,,,,,,,,
1168A,12H5W,57–59,122.38,1.15,1.65,,,,,,,,
1168A,12H7W,32–34,125.13,1.41,1.54,,,,,,,,
1168A,13X1W,57–59,126.22,0.83,1.32,,,,,,,,
1168A,13X2W,27–29,127.42,0.90,1.39,,,,,,,,
1168A,13X3W,28–30,128.93,1.43,1.40,,,,,,,,
1168A,14X1W,27–29,130.62,0.73,1.54,,,,,,,,
1168A,14X2W,27–29,132.12,1.40,1.61,,,,,,,,
1168A,14X3W,27.5–29.5,133.63,1.55,1.68,,,,,,,,
1168A,14X4W,61.5–63.5,135.47,1.01,1.25,,,,,,,,
1168A,15X1W,120–122,141.65,1.19,1.46,,,,,,,,
1168A,15X2W,24–26,142.19,1.05,1.24,,,,,,,,
1168A,15X3W,20–22,143.65,1.18,1.62,,,,,,,,
1168A,15X4W,28–30,144.93,1.45,1.66,,,,,,,,
1168A,16X1W,62–64,146.67,2.04,2.06,,,,,,,,
1168A,16X2W,65–67,148.20,1.99,2.30,,,,,,,,
1168A,16X3W,62–64,149.67,1.63,1.49,,,,,,,,
1168A,16X5W,57–59,152.62,1.69,1.99,,,,,,,,
1168A,17X1W,61–63,154.42,1.48,1.63,,,,,,,,
1168A,17X2W,65–67,155.96,2.00,1.69,,,,,,,,
